"scope","dominant_celltype","filter_type","threshold","n_bulk_deg","n_with_pb","n_direction","n_concordant","direction_concordance","direction_ci_low","direction_ci_high"
"overall","All","all",NA,1410,1362,1362,942,0.691629955947137,0.666342271602666,0.716088033565341
"overall","All","baseMean",10,1410,1292,1292,904,0.69969040247678,0.673874278587595,0.724594638428132
"overall","All","baseMean",20,1410,1264,1264,885,0.700158227848101,0.67405888570353,0.725323109749113
"by_celltype","Schwann/肿瘤细胞","all",NA,495,454,454,326,0.718061674008811,0.674241425394052,0.759014106893103
"by_celltype","Schwann/肿瘤细胞","baseMean",10,495,431,431,320,0.74245939675174,0.698438804591058,0.783115524287338
"by_celltype","Schwann/肿瘤细胞","baseMean",20,495,429,429,318,0.741258741258741,0.697075478714073,0.782078550647729
"by_celltype","成纤维","all",NA,265,235,235,155,0.659574468085106,0.595138850391395,0.719925439110286
"by_celltype","成纤维","baseMean",10,265,210,210,139,0.661904761904762,0.59359621205616,0.725567351341785
"by_celltype","成纤维","baseMean",20,265,202,202,132,0.653465346534653,0.583482310479658,0.718868659889686
"by_celltype","巨噬/髓系","all",NA,347,319,319,259,0.811912225705329,0.764632255203011,0.853290828244812
"by_celltype","巨噬/髓系","baseMean",10,347,317,317,258,0.813880126182965,0.766590396284782,0.855192063132105
"by_celltype","巨噬/髓系","baseMean",20,347,316,316,257,0.813291139240506,0.765873630633822,0.854723181033993
"by_celltype","周细胞","all",NA,160,131,131,79,0.603053435114504,0.513904419717403,0.68743471615688
"by_celltype","周细胞","baseMean",10,160,118,118,68,0.576271186440678,0.481913802788929,0.666706938799597
"by_celltype","周细胞","baseMean",20,160,111,111,63,0.567567567567568,0.47015632009064,0.661282688472965
"by_celltype","T细胞","all",NA,98,69,69,53,0.768115942028985,0.650930519288853,0.861264823136231
"by_celltype","T细胞","baseMean",10,98,69,69,53,0.768115942028985,0.650930519288853,0.861264823136231
"by_celltype","T细胞","baseMean",20,98,69,69,53,0.768115942028985,0.650930519288853,0.861264823136231
"by_celltype","内皮","all",NA,185,154,154,70,0.454545454545455,0.374220555586712,0.536653193318124
"by_celltype","内皮","baseMean",10,185,147,147,66,0.448979591836735,0.366942702517147,0.533114505224995
"by_celltype","内皮","baseMean",20,185,137,137,62,0.452554744525547,0.367410040658258,0.539795026630663
