cell_type,n_control,n_VS,median_control,median_VS,delta_median,p_value,p_adj,direction
Macrophages,9,31,0.404272922809752,0.554881099813352,0.150608177003601,2.93861533195576e-05,0.000881584599586727,Higher in VS
Th2 cells,9,31,0.051556860814749,0.00695067849399461,-0.0446061823207544,0.000414942334537657,0.00622413501806485,Lower in VS
Neutrophils,9,31,0.332239487239529,0.122865734927146,-0.209373752312383,0.0018750757181984,0.0112504543091904,Lower in VS
Endothelial cells,9,31,0.308059503808854,0.158435716718639,-0.149623787090214,0.00134358431467845,0.0112504543091904,Lower in VS
Immature dendritic cells,9,31,0.122047538626166,0.0514057269602149,-0.0706418116659507,0.00167955043835244,0.0112504543091904,Lower in VS
Dendritic cells,9,31,0.321746395258673,0.286844270478799,-0.0349021247798742,0.00436882032751942,0.0218441016375971,Lower in VS
CD56bright NK cells,9,31,-0.22793720886618,-0.180060199513348,0.0478770093528316,0.00718208992145978,0.0307803853776848,Higher in VS
Plasma cells,9,31,0.0301217122854683,-0.0775658375476278,-0.107687549833096,0.010505668278684,0.0344539650433988,Lower in VS
Fibroblasts,9,31,0.416274359946069,0.314881792868332,-0.101392567077738,0.0126331205159129,0.0344539650433988,Lower in VS
Monocytes,9,31,0.48035736403134,0.384265362518993,-0.0960920015123468,0.0115259025878384,0.0344539650433988,Lower in VS
Treg cells,9,31,-0.19337587178455,-0.140434776686139,0.0529410950984114,0.0115259025878384,0.0344539650433988,Higher in VS
MDSC,9,31,0.268559863315744,0.202416242253566,-0.0661436210621783,0.0151334468447567,0.0378336171118918,Lower in VS
Cytotoxic cells,9,31,-0.048091904232747,-0.125730545720009,-0.0776386414872618,0.0165398160313554,0.0381688062262049,Lower in VS
Basophils,9,31,-0.267649017216529,-0.328313256789394,-0.0606642395728647,0.0276337349004697,0.0592151462152923,Lower in VS
Th17 cells,9,31,-0.109670481255628,-0.159035531163736,-0.0493650499081077,0.032543589509215,0.0650871790184301,Lower in VS
T follicular helper cells,9,31,-0.0259085956876569,0.0239873272721629,0.0498959229598198,0.0446312188860713,0.0836835354113837,Higher in VS
Th1 cells,9,31,-0.158402068047558,-0.195006264760464,-0.0366041967129054,0.0697115955585011,0.123020462750296,Lower in VS
CD56dim NK cells,9,31,0.0497904214921949,0.0716374544839533,0.0218470329917584,0.127939016739135,0.213231694565224,Higher in VS
T cells,9,31,-0.051464664632954,-0.130672265331154,-0.0792076006981997,0.243613855646328,0.384653456283676,Lower in VS
Eosinophils,9,31,-0.241809342941448,-0.19339522891266,0.0484141140287878,0.285144173664949,0.407348819521356,Higher in VS
T helper cells,9,31,0.0273534314471564,0.0608099416075269,0.0334565101603704,0.285144173664949,0.407348819521356,Higher in VS
Activated dendritic cells,9,31,0.247246307463309,0.251477563982073,0.00423125651876408,0.331215799840779,0.45165790887379,Higher in VS
Gamma delta T cells,9,31,0.0493855323324025,-0.0127080828878147,-0.0620936152202172,0.347587541747854,0.453375054453723,Lower in VS
CD8 T cells,9,31,-0.00395630799395395,-0.0701849983241962,-0.0662286903302423,0.364464957370777,0.455581196713471,Lower in VS
CD4 T cells,9,31,0.147587535398271,0.171629829647641,0.0240422942493701,0.41809926069733,0.501719112836796,Higher in VS
Memory B cells,9,31,0.104367344470552,0.0952016347755553,-0.00916570969499689,0.627084907614194,0.723559508785608,Lower in VS
Mast cells,9,31,-0.180810795068141,-0.176826465750165,0.00398432931797627,0.721632215881359,0.80181357320151,Higher in VS
NK cells,9,31,0.0739028899334602,0.108614177796484,0.0347112878630239,0.770668664980564,0.82571642676489,Higher in VS
B cells,9,31,0.0399411960630577,0.0371876307088174,-0.00275356535424032,0.845914696523369,0.875084168817278,Lower in VS
Plasmacytoid dendritic cells,9,31,0.0834943438575041,0.0507862320335919,-0.0327081118239122,0.948350870514818,0.948350870514818,Lower in VS
