"cell_type","filter_type","threshold","n_genes","pearson_r","pearson_ci_low","pearson_ci_high","spearman_r","spearman_ci_low","spearman_ci_high","n_direction","n_concordant","direction_concordance","direction_ci_low","direction_ci_high","ci_method"
"Schwann/肿瘤细胞","all",NA,14369,0.178736158067182,0.151912962214246,0.205604156717841,0.21551937163764,0.200268992036544,0.231777993446229,14369,7727,0.537754888997147,0.529561155195077,0.54593332864153,"bootstrap_percentile; direction_clopper_pearson"
"Schwann/肿瘤细胞","baseMean",10,11524,0.206542914483949,0.173477650461605,0.23868915089184,0.234302584396171,0.216495021705886,0.251591413412571,11524,6624,0.574800416522041,0.565712945803191,0.583850079921704,"bootstrap_percentile; direction_clopper_pearson"
"Schwann/肿瘤细胞","baseMean",20,10516,0.220459787949128,0.181730345761221,0.258996117094141,0.230189724043834,0.21266302818292,0.247038963849084,10516,6034,0.573792316470141,0.564273696500374,0.583270052020374,"bootstrap_percentile; direction_clopper_pearson"
"Schwann/肿瘤细胞","bulk_DEG_supplementary",NA,1335,0.289423088845886,0.245213177746716,0.331227253658073,0.418245523003149,0.374461969879566,0.46202488307033,1335,945,0.707865168539326,0.682658299192102,0.73215351244027,"bootstrap_percentile; direction_clopper_pearson"
"巨噬/髓系","all",NA,14526,0.189039728000836,0.165159978956473,0.21371566444816,0.222097330518076,0.206569687598991,0.236970197435922,14526,8179,0.563059341869751,0.554946863638866,0.5711465514471,"bootstrap_percentile; direction_clopper_pearson"
"巨噬/髓系","baseMean",10,12362,0.21574635180594,0.186545222225728,0.245067165367972,0.221697476614731,0.204782467272926,0.237643191988629,12362,7198,0.582268241384889,0.573515377424089,0.590982349773208,"bootstrap_percentile; direction_clopper_pearson"
"巨噬/髓系","baseMean",20,11574,0.227955687215257,0.19709306129281,0.259458696282682,0.207873302185366,0.191102125133326,0.225013922872419,11574,6680,0.57715569379644,0.568094006664861,0.586178551952275,"bootstrap_percentile; direction_clopper_pearson"
"巨噬/髓系","bulk_DEG_supplementary",NA,1324,0.351306607140065,0.305572838253687,0.394928866923844,0.418915724149395,0.375415339513562,0.461074220638719,1324,945,0.713746223564955,0.688565368565694,0.737974536210891,"bootstrap_percentile; direction_clopper_pearson"
"成纤维","all",NA,14259,0.22293818487188,0.200861581081367,0.246119354412771,0.132497236017258,0.116218921154009,0.148673688091416,14259,7541,0.528858966266919,0.520625598322888,0.53708055335776,"bootstrap_percentile; direction_clopper_pearson"
"成纤维","baseMean",10,11335,0.245298486117536,0.217188591090604,0.275232486301415,0.150596487674363,0.130823929377957,0.169997459776312,11335,6049,0.533656815174239,0.524421272159803,0.542875063068615,"bootstrap_percentile; direction_clopper_pearson"
"成纤维","baseMean",20,10103,0.256433357445549,0.224657921862485,0.28742043063146,0.160020081640349,0.139073044262251,0.181040529854264,10103,5409,0.535385529050777,0.525601720016397,0.545148929945753,"bootstrap_percentile; direction_clopper_pearson"
"成纤维","bulk_DEG_supplementary",NA,1342,0.450746172923526,0.412885851662981,0.487658554869346,0.477143925714596,0.431251922395511,0.520014177202024,1342,987,0.735469448584203,0.710998953184342,0.758904287340774,"bootstrap_percentile; direction_clopper_pearson"
